join_id,z1_x,z2_x,z3_x,z1_y,z2_y,z3_y
PGS000001,-0.42274046,0.46471778,0.1660906,-0.42274046,0.46471778,0.1660906
PGS000002,-0.027997073,0.49538526,0.16577981,-0.027997073,0.49538526,0.16577981
PGS000003,-0.2726832,0.49268398,0.16244058,-0.2726832,0.49268398,0.16244058
PGS000004,0.47129342,0.30387333,-0.09415145,0.47129342,0.30387333,-0.09415145
PGS000005,0.48557895,0.37603664,-0.08437972,0.48557895,0.37603664,-0.08437972
PGS000006,0.46945432,0.34880942,-0.083175376,0.46945432,0.34880942,-0.083175376
PGS000007,0.47511372,0.14928737,-0.36870533,0.47511372,0.14928737,-0.36870533
PGS000008,0.502228,0.16573396,-0.2354167,0.502228,0.16573396,-0.2354167
PGS000009,0.47117677,0.07202238,-0.25793922,0.47117677,0.07202238,-0.25793922
PGS000015,-3.485351,0.13871059,0.08126645,-3.485351,0.13871059,0.08126645
PGS000028,-3.3352456,0.045267463,0.12548332,-3.3352456,0.045267463,0.12548332
PGS000029,-2.894183,0.09786114,0.06552227,-2.894183,0.09786114,0.06552227
PGS000045,0.3912809,0.32898208,-0.013605416,0.3912809,0.32898208,-0.013605416
PGS000046,0.4165767,0.40466958,0.011128038,0.4165767,0.40466958,0.011128038
PGS000047,0.27952194,0.329288,0.050072625,0.27952194,0.329288,0.050072625
PGS000050,-3.4438648,-0.04823509,0.06944893,-3.4438648,-0.04823509,0.06944893
PGS000051,-3.434521,-0.037577957,0.0613399,-3.434521,-0.037577957,0.0613399
PGS000052,0.011001263,0.49795774,0.11510967,0.011001263,0.49795774,0.11510967
PGS000072,-3.483932,0.05574146,0.3445807,-3.483932,0.05574146,0.3445807
PGS000153,-4.2541423,-0.5443672,1.1830963,-4.2541423,-0.5443672,1.1830963
PGS000212,0.4766828,0.3875633,-0.057702914,0.4766828,0.3875633,-0.057702914
PGS000213,0.5672831,0.3868852,-0.1126612,0.5672831,0.3868852,-0.1126612
PGS000214,0.4227061,0.45616594,-0.023949206,0.4227061,0.45616594,-0.023949206
PGS000215,0.7142762,0.5498035,-0.14616808,0.7142762,0.5498035,-0.14616808
PGS000216,0.91562533,0.6332686,-0.2400099,0.91562533,0.6332686,-0.2400099
PGS000317,-3.3492842,0.007050067,0.046000764,-3.3492842,0.007050067,0.046000764
PGS000332,-2.6900735,-1.6487188,-6.5159354,-2.6900735,-1.6487188,-6.5159354
PGS000335,0.064482935,-0.30335823,-1.3508989,0.064482935,-0.30335823,-1.3508989
PGS000344,0.336146,0.33945477,-0.04615727,0.336146,0.33945477,-0.04615727
PGS000345,0.24730787,0.37935013,-0.013028383,0.24730787,0.37935013,-0.013028383
PGS000346,0.22996423,0.3212063,-0.012304932,0.22996423,0.3212063,-0.012304932
PGS000347,0.32931894,0.39734888,-0.0267798,0.32931894,0.39734888,-0.0267798
PGS000472,-0.82993627,0.27826908,-0.07846637,-0.82993627,0.27826908,-0.07846637
PGS000473,0.017990354,-0.33384606,-1.3862277,0.017990354,-0.33384606,-1.3862277
PGS000474,-0.64118123,0.28061968,-0.061132148,-0.64118123,0.28061968,-0.061132148
PGS000475,-0.01907688,0.15004915,-0.16894089,-0.01907688,0.15004915,-0.16894089
PGS000476,-0.1593479,0.21787009,-0.070102766,-0.1593479,0.21787009,-0.070102766
PGS000477,0.020516668,-0.33255613,-1.3868115,0.020516668,-0.33255613,-1.3868115
PGS000478,-0.31298223,0.28177968,-0.029446527,-0.31298223,0.28177968,-0.029446527
PGS000479,-0.31820506,0.2714416,-0.045521066,-0.31820506,0.2714416,-0.045521066
PGS000480,-0.4682527,0.28176722,-0.0411828,-0.4682527,0.28176722,-0.0411828
PGS000481,0.021018092,-0.3329843,-1.3862973,0.021018092,-0.3329843,-1.3862973
PGS000482,0.15433165,0.10067571,-0.14293687,0.15433165,0.10067571,-0.14293687
PGS000483,-0.19338328,0.2167923,-0.08537592,-0.19338328,0.2167923,-0.08537592
PGS000484,-2.296575,0.123503596,-0.0539809,-2.296575,0.123503596,-0.0539809
PGS000485,-3.4658678,-0.042925328,0.13509981,-3.4658678,-0.042925328,0.13509981
PGS000486,-3.4599707,-0.035615116,0.12657301,-3.4599707,-0.035615116,0.12657301
