pgs_id,z1,z2,z3
PGS000001,-0.16777238,-0.24441557,0.74599373
PGS000002,-0.1719251,-0.21349867,0.24942003
PGS000003,-0.20128623,-0.24274693,0.5301461
PGS000004,-0.3089211,-0.26029247,-0.26998156
PGS000005,-0.39758685,-0.30356222,-0.29672372
PGS000006,-0.37094525,-0.306085,-0.29219127
PGS000007,-0.138812,-0.18998449,-0.33977106
PGS000008,-0.21499696,-0.22182383,-0.2898707
PGS000009,-0.07629465,-0.16354032,-0.25816047
PGS000015,-0.28044018,-2.1151555,5.3008776
PGS000028,-0.5162991,-2.0196402,5.1989245
PGS000029,-0.47027257,-1.7259135,4.4616394
PGS000045,-0.26884916,-0.22326271,-0.19000866
PGS000046,-0.37602663,-0.28277344,-0.23589599
PGS000047,-0.17088628,-0.18023534,-0.074327454
PGS000050,-0.5179298,-2.0036523,5.2916317
PGS000051,-0.52467656,-2.0090957,5.283486
PGS000052,-0.24058512,-0.2164792,0.19811638
PGS000072,-0.37475225,-2.094184,5.583476
PGS000153,0.61212873,-1.8404515,6.333411
PGS000212,-0.38259932,-0.31828994,-0.30236843
PGS000213,-0.4205908,-0.3410563,-0.37485665
PGS000214,-0.4667342,-0.34487367,-0.2709477
PGS000215,-0.646986,-0.4686815,-0.53103286
PGS000216,-0.78740317,-0.558687,-0.7178054
PGS000317,-0.50222254,-1.9865763,5.127579
PGS000332,3.8989072,-0.50011444,-6.3135743
PGS000335,0.6651329,-0.09159319,-1.2289373
PGS000344,-0.2941474,-0.23433416,-0.15214533
PGS000345,-0.30112013,-0.22006945,-0.0673289
PGS000346,-0.1965692,-0.19084476,-0.03863396
PGS000347,-0.36410984,-0.26700068,-0.16103998
PGS000472,-0.17095664,-0.27642846,1.0528251
PGS000473,0.7095742,-0.0655096,-1.2262977
PGS000474,-0.14852542,-0.19031183,0.83846533
PGS000475,0.04214988,-0.04282838,0.16916601
PGS000476,-0.022817709,-0.039857075,0.31380957
PGS000477,0.70924014,-0.0677084,-1.2284864
PGS000478,-0.054951794,-0.05061488,0.44679162
PGS000479,-0.05624988,-0.044531092,0.43815458
PGS000480,-0.103203796,-0.11019988,0.6218124
PGS000481,0.70854497,-0.066852614,-1.22849
PGS000482,0.017799862,-0.030850455,0.09548524
PGS000483,-0.02561777,-0.03595075,0.32026914
PGS000484,-0.41429308,-1.2230867,3.3528578
PGS000485,-0.49108484,-2.0248747,5.3468933
PGS000486,-0.4960493,-2.0267015,5.3398566
PGS000487,-0.49108484,-2.0248747,5.3468933
PGS000488,-0.49564406,-2.0217164,5.3364787
PGS000489,-0.28256127,-0.2507704,-0.29577318
PGS000490,-0.28256127,-0.2507704,-0.2957732
PGS000491,0.71856695,-0.066388205,-1.228308
PGS000492,0.719616,-0.06602019,-1.2287202
PGS000493,-0.42761198,-0.34543848,-0.09220244
PGS000494,-0.28256127,-0.2507704,-0.2957732
PGS000495,-0.027843453,-0.03112416,0.34214842
PGS000496,0.014805742,-0.03532198,0.2698864
PGS000497,-0.35052148,-0.2699989,-0.11521724
PGS000498,-0.35052148,-0.2699989,-0.11521724
PGS000499,0.6949701,-0.10737343,-1.2738769
PGS000500,0.6967678,-0.10673235,-1.2750286
PGS000501,-0.7295835,-0.60973275,-0.60689586
PGS000502,-0.51201427,-0.39570415,-0.3044865
PGS000503,0.040295906,-0.11140679,-0.22846201
PGS000504,0.13337073,-0.17464654,-0.3336326
PGS000505,-0.3042632,-0.24048822,-0.09121913
PGS000506,-0.3042632,-0.24048822,-0.09121913
PGS000507,0.6951401,-0.08791326,-1.2610255
PGS000508,0.6950624,-0.092643365,-1.2664512
PGS000509,-0.16916284,-0.36888754,-0.46621066
PGS000510,-0.22828642,-0.31488514,-0.39270768
PGS000511,0.07983697,-0.14027815,-0.33388263
PGS000512,0.227563,-0.1895455,-0.49728954
PGS000513,-0.2408075,-0.33163607,0.28640503
PGS000514,0.7129538,-0.06688009,-1.2362844
PGS000515,-0.2974844,-0.27842444,-0.05824277
PGS000516,-0.0013230368,-0.042058706,0.24272878
PGS000517,-0.105151795,-0.22312717,0.5972266
PGS000518,-0.105151795,-0.22312717,0.5972266
PGS000519,0.7115155,-0.06926273,-1.2338023
PGS000520,0.7117832,-0.07056239,-1.2363862
PGS000521,-0.1488027,-0.5366053,1.5476018
PGS000522,-0.12955448,-0.18730675,0.25506312
PGS000523,-0.010383569,-0.16495372,-0.27250615
PGS000524,0.017454349,-0.03507571,0.17346844
PGS000525,-0.32310113,-0.33991963,-0.014029015
PGS000526,-0.32310113,-0.33991963,-0.014029015
PGS000527,0.7054441,-0.09181823,-1.2533871
PGS000528,0.7063862,-0.095090255,-1.2571665
PGS000529,-0.40678528,-0.39974427,-0.094170064
PGS000530,-0.28341624,-0.36798114,0.1987045
PGS000531,0.11077515,-0.11530824,-0.23316756
PGS000532,0.022715308,-0.048121706,-0.076533735
PGS000533,-0.22799942,-0.31606776,0.2589979
