epoch,train_loss,val_accuracy
0,0.72,0.510185
1,0.697592,0.513525
2,0.67602,0.516839
3,0.655023,0.51998
4,0.63437,0.522836
5,0.613874,0.525338
6,0.593395,0.527475
7,0.572851,0.529291
8,0.55222,0.530885
9,0.531536,0.532403
10,0.510891,0.534026
11,0.49042,0.53595
12,0.470296,0.538377
13,0.450715,0.541488
14,0.431881,0.545435
15,0.413994,0.55032
16,0.397235,0.556193
17,0.381752,0.563045
18,0.367652,0.570811
19,0.354988,0.579374
20,0.343759,0.588582
21,0.333908,0.598255
22,0.325321,0.60821
23,0.317836,0.61827
24,0.311252,0.628286
25,0.305337,0.638147
26,0.299845,0.647785
27,0.294528,0.657185
28,0.289153,0.66638
29,0.283511,0.675441
30,0.277433,0.684475
31,0.270799,0.693599
32,0.263543,0.702936
33,0.255656,0.712589
34,0.247191,0.722631
35,0.23825,0.733095
36,0.228985,0.743962
37,0.219584,0.755161
38,0.210258,0.76657
39,0.201231,0.778029
40,0.19272,0.789344
41,0.184927,0.800308
42,0.17802,0.810718
43,0.172127,0.820389
44,0.167323,0.829175
45,0.16363,0.836976
46,0.16101,0.84375
47,0.15937,0.849517
48,0.158566,0.854355
49,0.158413,0.858394
50,0.158694,0.861801
51,0.159176,0.86477
52,0.15962,0.867498
53,0.1598,0.870175
54,0.159512,0.872957
55,0.158592,0.875961
56,0.156921,0.879252
57,0.154434,0.882838
58,0.151123,0.886673
59,0.14704,0.890659
60,0.142289,0.894662
61,0.137022,0.898524
62,0.131431,0.902081
63,0.125731,0.90518
64,0.120151,0.907693
65,0.114916,0.909536
66,0.110237,0.910673
67,0.106293,0.911125
68,0.103222,0.910966
69,0.101113,0.910318
70,0.099998,0.909341
71,0.099854,0.908218
72,0.100599,0.907136
73,0.102099,0.906272
74,0.104179,0.905775
75,0.106629,0.90575
76,0.10922,0.906255
77,0.111719,0.907286
78,0.113899,0.908788
79,0.115557,0.910654
80,0.116526,0.912738
81,0.116682,0.91487
82,0.115958,0.916872
83,0.114341,0.918575
84,0.111876,0.919839
85,0.108665,0.92056
86,0.104856,0.920689
87,0.100638,0.92023
88,0.096227,0.919242
89,0.091852,0.917835
90,0.087744,0.916158
91,0.084116,0.914384
92,0.081155,0.912695
93,0.08,0.911263
94,0.08,0.910237
95,0.08,0.909722
96,0.08,0.909774
97,0.08,0.910395
98,0.081914,0.911531
99,0.084743,0.9162
