epoch,train_loss,val_accuracy
0,0.72,0.533385
1,0.697592,0.536725
2,0.67602,0.540039
3,0.655023,0.54318
4,0.63437,0.546036
5,0.613874,0.548538
6,0.593395,0.550675
7,0.572851,0.552491
8,0.55222,0.554085
9,0.531536,0.555603
10,0.510891,0.557226
11,0.49042,0.55915
12,0.470296,0.561577
13,0.450715,0.564688
14,0.431881,0.568635
15,0.413994,0.57352
16,0.397235,0.579393
17,0.381752,0.586245
18,0.367652,0.594011
19,0.354988,0.602574
20,0.343759,0.611782
21,0.333908,0.621455
22,0.325321,0.63141
23,0.317836,0.64147
24,0.311252,0.651486
25,0.305337,0.661347
26,0.299845,0.670985
27,0.294528,0.680385
28,0.289153,0.68958
29,0.283511,0.698641
30,0.277433,0.707675
31,0.270799,0.716799
32,0.263543,0.726136
33,0.255656,0.735789
34,0.247191,0.745831
35,0.23825,0.756295
36,0.228985,0.767162
37,0.219584,0.778361
38,0.210258,0.78977
39,0.201231,0.801229
40,0.19272,0.812544
41,0.184927,0.823508
42,0.17802,0.833918
43,0.172127,0.843589
44,0.167323,0.852375
45,0.16363,0.860176
46,0.16101,0.86695
47,0.15937,0.872717
48,0.158566,0.877555
49,0.158413,0.881594
50,0.158694,0.885001
51,0.159176,0.88797
52,0.15962,0.890698
53,0.1598,0.893375
54,0.159512,0.896157
55,0.158592,0.899161
56,0.156921,0.902452
57,0.154434,0.906038
58,0.151123,0.909873
59,0.14704,0.913859
60,0.142289,0.917862
61,0.137022,0.921724
62,0.131431,0.925281
63,0.125731,0.92838
64,0.120151,0.930893
65,0.114916,0.932736
66,0.110237,0.933873
67,0.106293,0.934325
68,0.103222,0.934166
69,0.101113,0.933518
70,0.099998,0.932541
71,0.099854,0.931418
72,0.100599,0.930336
73,0.102099,0.929472
74,0.104179,0.928975
75,0.106629,0.92895
76,0.10922,0.929455
77,0.111719,0.930486
78,0.113899,0.931988
79,0.115557,0.933854
80,0.116526,0.935938
81,0.116682,0.93807
82,0.115958,0.940072
83,0.114341,0.941775
84,0.111876,0.943039
85,0.108665,0.94376
86,0.104856,0.943889
87,0.100638,0.94343
88,0.096227,0.942442
89,0.091852,0.941035
90,0.087744,0.939358
91,0.084116,0.937584
92,0.081155,0.935895
93,0.08,0.934463
94,0.08,0.933437
95,0.08,0.932922
96,0.08,0.932974
97,0.08,0.933595
98,0.081914,0.934731
99,0.084743,0.9394
