epoch,train_loss,val_score
0,1.15,0.217185
1,1.123919,0.220525
2,1.098824,0.223839
3,1.074447,0.22698
4,1.050554,0.229836
5,1.026948,0.232338
6,1.003487,0.234475
7,0.980083,0.236291
8,0.956707,0.237885
9,0.933392,0.239403
10,0.910223,0.241026
11,0.887331,0.24295
12,0.864884,0.245377
13,0.843075,0.248488
14,0.822104,0.252435
15,0.802167,0.25732
16,0.783442,0.263193
17,0.766074,0.270045
18,0.750165,0.277811
19,0.735766,0.286374
20,0.722873,0.295582
21,0.711425,0.305255
22,0.701307,0.31521
23,0.692354,0.32527
24,0.684361,0.335286
25,0.677095,0.345147
26,0.670307,0.354785
27,0.663747,0.364185
28,0.657179,0.37338
29,0.650393,0.382441
30,0.643219,0.391475
31,0.635532,0.400599
32,0.627266,0.409936
33,0.618412,0.419589
34,0.609018,0.429631
35,0.599186,0.440095
36,0.589067,0.450962
37,0.578846,0.462161
38,0.568734,0.47357
39,0.558953,0.485029
40,0.549719,0.496344
41,0.541232,0.507308
42,0.53366,0.517718
43,0.527128,0.527389
44,0.521712,0.536175
45,0.517432,0.543976
46,0.514249,0.55075
47,0.512068,0.556517
48,0.510746,0.561355
49,0.510096,0.565394
50,0.509901,0.568801
51,0.509925,0.57177
52,0.50993,0.574498
53,0.509689,0.577175
54,0.508998,0.579957
55,0.507691,0.582961
56,0.505649,0.586252
57,0.502805,0.589838
58,0.499153,0.593673
59,0.494742,0.597659
60,0.489676,0.601662
61,0.484108,0.605524
62,0.478228,0.609081
63,0.472251,0.61218
64,0.466404,0.614693
65,0.460915,0.616536
66,0.455991,0.617673
67,0.451811,0.618125
68,0.448515,0.617966
69,0.44619,0.617318
70,0.444869,0.616341
71,0.444526,0.615218
72,0.44508,0.614136
73,0.446397,0.613272
74,0.448301,0.612775
75,0.450583,0.61275
76,0.453013,0.613255
77,0.455357,0.614286
78,0.457388,0.615788
79,0.458904,0.617654
80,0.459736,0.619738
81,0.459762,0.62187
82,0.458912,0.623872
83,0.457174,0.625575
84,0.454594,0.626839
85,0.451271,0.62756
86,0.447356,0.627689
87,0.443036,0.62723
88,0.438527,0.626242
89,0.434059,0.624835
90,0.42986,0.623158
91,0.426146,0.621384
92,0.423102,0.619695
93,0.420875,0.618263
94,0.42,0.617237
95,0.42,0.616722
96,0.42,0.616774
97,0.421238,0.617395
98,0.423431,0.618531
99,0.426197,0.6232
